Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-11-29;20,00;15,00;2,50;2,50;0,50;5,00;2,00;8,00;5,00;3,00;2,00;2,00;2,00;3,00;2,00;0,50;2,00;1,00;3,00;2,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;1,00;0,50;0,50
2020-12-06;23,00;23,00;2,88;2,88;0,50;5,00;2,00;5,00;4,00;5,00;2,00;1,00;3,00;2,00;1,00;0,50;2,00;1,00;3,00;4,00;2,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,00;2,00;0,50;0,00
2020-12-13;27,00;13,50;2,70;2,70;0,50;4,00;2,00;3,00;5,00;3,00;2,00;2,00;2,00;2,00;2,00;0,50;2,00;1,00;2,00;3,00;2,00;0,50;0,50;0,50;1,00;0,50;0,00;0,50;0,50;2,00;0,00;0,00
2020-12-20;46,00;16,24;2,71;2,71;0,00;4,00;2,00;4,00;5,00;3,00;2,00;2,00;2,00;2,00;2,00;0,50;2,00;1,00;3,00;4,00;2,00;0,50;1,00;0,50;1,00;0,50;0,00;0,50;0,00;3,00;0,50;0,00
2020-12-27;25,00;19,44;5,56;2,78;0,50;5,00;2,00;4,00;7,00;4,00;5,00;3,00;2,00;2,00;2,00;1,00;2,00;1,00;3,00;3,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;3,00;0,50;0,00
2021-01-03;24,00;21,33;5,33;5,33;0,00;11,00;2,00;4,00;5,00;5,00;3,00;2,00;2,00;3,00;2,00;1,00;2,00;1,00;2,00;3,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,00
2021-01-10;19,00;16,29;2,71;5,43;0,50;16,00;2,00;4,00;6,00;4,00;2,00;2,00;1,00;3,00;3,00;1,00;2,00;1,00;2,00;2,00;2,00;0,50;0,50;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,00;0,50
2021-01-17;17,00;19,83;2,83;2,83;0,50;11,00;2,00;3,00;5,00;4,00;2,00;1,00;1,00;3,00;2,00;0,50;3,00;0,50;3,00;2,00;2,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,00;2,00;0,50;0,50
2021-01-24;18,00;15,43;2,57;2,57;0,00;5,00;2,00;3,00;6,00;3,00;2,00;2,00;1,00;3,00;1,00;0,50;2,00;0,50;3,00;2,00;3,00;0,50;0,50;0,50;1,00;0,50;0,50;0,50;0,50;1,00;0,50;0,00
2021-01-31;16,00;16,00;2,67;2,67;0,50;4,00;1,00;3,00;5,00;4,00;3,00;1,00;1,00;3,00;2,00;0,50;2,00;1,00;2,00;3,00;3,00;0,50;0,50;0,50;1,00;0,50;0,00;0,50;0,50;1,00;0,50;0,00
2021-02-07;18,00;15,43;2,57;2,57;0,50;5,00;1,00;3,00;7,00;5,00;2,00;1,00;0,50;3,00;2,00;0,50;2,00;1,00;3,00;2,00;3,00;0,50;1,00;1,00;1,00;0,50;0,50;0,50;0,50;1,00;0,50;0,50
2021-02-14;17,00;17,00;2,83;2,83;0,00;5,00;2,00;3,00;7,00;4,00;3,00;1,00;1,00;4,00;2,00;0,50;2,00;1,00;2,00;2,00;3,00;0,50;0,50;0,50;1,00;0,50;0,50;0,50;0,50;1,00;0,00;0,50
2021-02-21;17,00;12,14;2,43;4,86;0,50;7,00;1,00;2,00;5,00;3,00;3,00;1,00;1,00;3,00;2,00;0,50;2,00;1,00;3,00;2,00;9,00;0,50;1,00;0,00;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2021-02-28;17,00;14,17;2,83;5,67;0,50;4,00;2,00;2,00;5,00;4,00;2,00;1,00;1,00;3,00;1,00;1,00;1,00;0,50;2,00;2,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;1,00;0,00;0,00
2021-03-07;18,00;15,43;2,57;2,57;0,00;5,00;2,00;3,00;5,00;3,00;3,00;1,00;3,00;3,00;2,00;0,50;1,00;0,50;2,00;2,00;2,00;0,50;0,50;0,50;1,00;0,50;0,50;0,50;0,00;1,00;0,50;0,50
2021-03-14;19,00;16,29;2,71;5,43;0,00;7,00;2,00;3,00;5,00;5,00;2,00;1,00;1,00;3,00;2,00;0,50;2,00;1,00;3,00;3,00;2,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;1,00;0,00;0,50
2021-03-21;19,00;13,57;2,71;5,43;0,00;6,00;2,00;3,00;5,00;4,00;3,00;2,00;1,00;4,00;2,00;0,50;2,00;1,00;3,00;3,00;2,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;1,00;0,50;0,00
2021-03-28;19,00;13,57;2,71;5,43;0,50;6,00;2,00;2,00;5,00;4,00;3,00;2,00;1,00;4,00;2,00;0,50;1,00;1,00;2,00;3,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,00;1,00;0,00;0,50
2021-04-04;20,00;12,50;2,50;5,00;0,50;6,00;2,00;4,00;5,00;4,00;3,00;2,00;1,00;4,00;2,00;0,50;2,00;1,00;4,00;2,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,00
2021-04-11;27,00;16,20;2,70;5,40;0,50;7,00;2,00;3,00;5,00;4,00;3,00;2,00;1,00;3,00;2,00;0,50;2,00;1,00;3,00;2,00;2,00;0,50;0,50;0,50;1,00;0,50;0,50;0,50;0,50;3,00;0,50;0,50
2021-04-18;20,00;15,00;2,50;5,00;0,50;6,00;3,00;4,00;5,00;4,00;2,00;1,00;0,50;4,00;3,00;1,00;2,00;1,00;3,00;2,00;2,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;1,00;0,00;0,00
2021-04-25;18,00;15,43;2,57;5,14;0,50;8,00;2,00;3,00;5,00;4,00;4,00;2,00;1,00;3,00;2,00;0,50;2,00;1,00;6,00;2,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;1,00;0,50;0,50
2021-05-02;21,00;15,75;2,63;5,25;0,00;13,00;2,00;3,00;5,00;3,00;2,00;1,00;1,00;4,00;2,00;0,50;2,00;1,00;3,00;2,00;3,00;0,50;0,50;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2021-05-09;18,00;15,43;5,14;7,71;0,50;8,00;2,00;3,00;6,00;3,00;3,00;1,00;1,00;5,00;2,00;1,00;1,00;1,00;3,00;2,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,00;2,00;0,00;0,50
2021-05-16;19,00;19,00;5,43;8,14;0,50;7,00;4,00;3,00;7,00;3,00;5,00;2,00;1,00;6,00;2,00;34,00;2,00;1,00;4,00;2,00;3,00;0,50;26,00;0,50;1,00;0,50;0,50;0,50;0,50;4,00;0,00;0,50
2021-05-23;20,00;20,00;5,00;10,00;0,00;7,00;4,00;4,00;6,00;3,00;4,00;3,00;1,00;6,00;2,00;3,00;2,00;1,00;4,00;2,00;2,00;0,50;2,00;0,50;1,00;1,00;0,50;1,00;0,50;4,00;0,00;0,50
2021-05-30;22,00;27,50;5,50;11,00;0,50;9,00;5,00;4,00;7,00;4,00;3,00;4,00;1,00;6,00;2,00;1,00;3,00;1,00;5,00;2,00;4,00;1,00;1,00;0,50;2,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2021-06-06;17,00;25,50;5,67;11,33;0,50;7,00;5,00;3,00;7,00;5,00;4,00;4,00;1,00;8,00;3,00;1,00;2,00;2,00;4,00;3,00;5,00;0,50;1,00;0,50;1,00;0,50;0,50;1,00;0,50;1,00;0,00;0,50
2021-06-13;27,00;24,30;5,40;13,50;0,50;9,00;6,00;5,00;7,00;5,00;6,00;3,00;1,00;7,00;4,00;1,00;3,00;2,00;6,00;2,00;5,00;0,50;1,00;0,50;2,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2021-06-20;22,00;24,75;8,25;11,00;0,50;9,00;5,00;5,00;8,00;5,00;8,00;4,00;2,00;8,00;3,00;1,00;3,00;2,00;6,00;2,00;5,00;1,00;1,00;1,00;2,00;1,00;0,00;0,50;0,50;2,00;0,50;0,00
2021-06-27;21,00;26,25;7,88;13,13;0,50;9,00;7,00;5,00;8,00;6,00;7,00;5,00;1,00;7,00;3,00;1,00;3,00;2,00;10,00;2,00;5,00;1,00;1,00;0,50;1,00;1,00;0,50;1,00;0,50;2,00;0,50;0,50
2021-07-04;25,00;27,78;8,33;13,89;0,50;9,00;5,00;5,00;9,00;5,00;6,00;5,00;1,00;8,00;3,00;1,00;3,00;2,00;6,00;3,00;5,00;0,50;1,00;1,00;2,00;1,00;0,50;1,00;0,50;3,00;0,50;0,50
2021-07-11;32,00;26,67;5,33;10,67;0,50;8,00;5,00;6,00;10,00;5,00;5,00;4,00;1,00;6,00;3,00;1,00;3,00;2,00;6,00;3,00;4,00;1,00;1,00;0,50;2,00;1,00;0,50;0,50;0,50;3,00;0,50;0,50
2021-07-18;19,00;24,43;8,14;10,86;0,00;9,00;4,00;5,00;8,00;6,00;6,00;4,00;1,00;6,00;3,00;1,00;4,00;2,00;6,00;3,00;5,00;1,00;1,00;0,50;2,00;1,00;0,50;0,50;0,50;2,00;0,50;0,50
2021-07-25;20,00;22,50;7,50;10,00;0,50;8,00;4,00;7,00;8,00;5,00;6,00;5,00;1,00;6,00;4,00;1,00;4,00;2,00;7,00;3,00;4,00;1,00;2,00;1,00;2,00;1,00;0,50;1,00;0,50;2,00;0,50;0,50
2021-08-01;16,00;24,00;8,00;10,67;0,50;8,00;5,00;6,00;10,00;5,00;7,00;5,00;1,00;9,00;4,00;1,00;4,00;2,00;6,00;3,00;4,00;0,50;1,00;1,00;2,00;1,00;0,50;1,00;0,50;3,00;0,50;0,50
2021-08-08;21,00;36,75;10,50;13,13;0,50;9,00;6,00;7,00;12,00;5,00;7,00;6,00;2,00;8,00;5,00;1,00;4,00;3,00;7,00;3,00;5,00;1,00;2,00;0,50;2,00;1,00;0,50;1,00;0,50;3,00;0,50;0,50
2021-08-15;21,00;34,13;13,13;10,50;0,50;9,00;6,00;7,00;11,00;5,00;8,00;6,00;2,00;7,00;5,00;1,00;5,00;2,00;7,00;4,00;7,00;1,00;2,00;1,00;2,00;0,50;0,50;1,00;0,50;3,00;0,50;0,50
2021-08-22;22,00;35,75;13,75;11,00;0,50;10,00;6,00;8,00;9,00;5,00;9,00;6,00;2,00;7,00;5,00;2,00;4,00;3,00;7,00;4,00;6,00;1,00;1,00;1,00;2,00;1,00;0,50;0,50;0,50;3,00;0,50;0,50
2021-08-29;22,00;38,50;13,75;11,00;0,50;12,00;6,00;9,00;12,00;4,00;9,00;6,00;1,00;5,00;4,00;1,00;4,00;2,00;7,00;4,00;6,00;1,00;2,00;1,00;1,00;1,00;0,50;0,50;0,50;4,00;0,50;0,50
2021-09-05;23,00;40,89;12,78;10,22;0,50;10,00;7,00;8,00;12,00;5,00;10,00;6,00;2,00;4,00;4,00;1,00;3,00;2,00;7,00;6,00;6,00;1,00;1,00;0,50;2,00;1,00;1,00;0,50;0,50;2,00;0,50;0,50
2021-09-12;25,00;41,67;13,89;11,11;0,50;14,00;6,00;9,00;11,00;5,00;16,00;5,00;2,00;4,00;5,00;1,00;4,00;2,00;6,00;5,00;6,00;1,00;1,00;0,50;2,00;1,00;0,50;0,50;0,50;2,00;0,00;0,50
2021-09-19;27,00;48,60;13,50;13,50;0,50;12,00;6,00;8,00;11,00;5,00;10,00;6,00;1,00;4,00;5,00;1,00;4,00;1,00;7,00;3,00;4,00;1,00;2,00;0,50;1,00;1,00;0,50;0,50;0,00;2,00;0,50;0,50
2021-09-26;24,00;50,67;13,33;13,33;0,50;12,00;7,00;10,00;13,00;6,00;12,00;8,00;1,00;6,00;5,00;1,00;3,00;2,00;8,00;5,00;6,00;1,00;2,00;0,50;2,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2021-10-03;27,00;54,00;13,50;13,50;0,50;12,00;7,00;11,00;12,00;6,00;13,00;7,00;1,00;5,00;5,00;1,00;4,00;2,00;9,00;4,00;8,00;1,00;2,00;0,50;2,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2021-10-10;29,00;50,09;15,82;10,55;0,50;14,00;8,00;12,00;14,00;6,00;15,00;9,00;2,00;5,00;6,00;2,00;5,00;1,00;8,00;4,00;8,00;1,00;2,00;0,50;3,00;1,00;0,50;0,50;0,50;2,00;0,00;0,50
2021-10-17;29,00;55,36;15,82;13,18;0,50;14,00;9,00;11,00;13,00;5,00;14,00;8,00;2,00;5,00;5,00;1,00;5,00;2,00;7,00;4,00;6,00;1,00;1,00;1,00;2,00;0,50;0,50;0,50;0,50;2,00;0,00;0,00
2021-10-24;26,00;54,60;15,60;13,00;0,50;15,00;7,00;10,00;12,00;6,00;15,00;12,00;2,00;4,00;5,00;1,00;5,00;2,00;10,00;3,00;7,00;1,00;1,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2021-10-31;29,00;176,64;18,45;13,18;0,50;16,00;7,00;13,00;12,00;6,00;18,00;11,00;2,00;4,00;6,00;1,00;4,00;2,00;8,00;6,00;8,00;1,00;2,00;0,50;2,00;1,00;0,50;1,00;0,50;2,00;0,50;0,00
2021-11-07;29,00;71,18;15,82;13,18;0,50;12,00;7,00;15,00;11,00;5,00;17,00;9,00;2,00;4,00;5,00;1,00;4,00;2,00;6,00;62,00;8,00;0,50;1,00;0,50;2,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2021-11-14;27,00;56,70;13,50;10,80;0,50;14,00;6,00;14,00;11,00;5,00;18,00;7,00;2,00;4,00;5,00;1,00;4,00;1,00;6,00;5,00;7,00;1,00;1,00;1,00;1,00;1,00;0,50;0,50;0,50;2,00;0,50;0,50
2021-11-21;27,00;48,60;8,10;8,10;0,50;14,00;5,00;11,00;11,00;5,00;15,00;5,00;2,00;4,00;4,00;1,00;3,00;2,00;4,00;3,00;7,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;3,00;0,50;0,50
2021-11-28;25,00;47,22;8,33;11,11;0,50;12,00;5,00;9,00;9,00;6,00;14,00;3,00;2,00;4,00;4,00;1,00;3,00;2,00;4,00;4,00;6,00;0,50;1,00;0,50;1,00;1,00;0,50;0,50;0,50;2,00;0,50;0,00
2021-12-05;23,00;51,11;7,67;10,22;0,50;12,00;5,00;8,00;8,00;5,00;13,00;4,00;3,00;3,00;4,00;2,00;3,00;1,00;4,00;4,00;6,00;0,50;1,00;0,50;1,00;1,00;0,50;0,50;0,50;2,00;0,50;0,50
2021-12-12;21,00;65,63;7,88;10,50;0,50;11,00;5,00;9,00;8,00;5,00;13,00;5,00;2,00;4,00;3,00;2,00;3,00;1,00;4,00;3,00;5,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,00;0,50
2021-12-19;23,00;51,11;7,67;10,22;0,50;10,00;4,00;8,00;7,00;5,00;12,00;4,00;2,00;3,00;4,00;1,00;4,00;1,00;4,00;4,00;5,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,00
2021-12-26;22,00;60,50;8,25;11,00;0,50;12,00;6,00;9,00;9,00;8,00;13,00;4,00;1,00;4,00;3,00;1,00;4,00;1,00;4,00;4,00;4,00;1,00;1,00;1,00;2,00;0,50;0,50;0,50;0,00;2,00;0,00;0,50
2022-01-02;27,00;48,60;5,40;10,80;0,50;10,00;6,00;7,00;9,00;6,00;11,00;4,00;2,00;4,00;4,00;1,00;4,00;2,00;5,00;3,00;5,00;1,00;1,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2022-01-09;22,00;41,25;5,50;8,25;0,00;10,00;6,00;5,00;8,00;5,00;9,00;3,00;1,00;4,00;4,00;1,00;3,00;1,00;4,00;3,00;5,00;0,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2022-01-16;25,00;41,67;8,33;8,33;0,50;11,00;6,00;6,00;7,00;5,00;10,00;3,00;3,00;5,00;4,00;1,00;3,00;1,00;5,00;2,00;4,00;1,00;1,00;0,50;1,00;0,50;0,50;0,50;0,00;2,00;0,50;0,00
2022-01-23;24,00;50,67;8,00;10,67;0,50;13,00;6,00;8,00;10,00;8,00;10,00;4,00;1,00;8,00;4,00;1,00;3,00;2,00;4,00;3,00;5,00;1,00;1,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,00;0,50
2022-01-30;28,00;56,00;14,00;14,00;0,50;12,00;8,00;7,00;11,00;7,00;11,00;4,00;1,00;6,00;4,00;1,00;2,00;1,00;4,00;4,00;4,00;0,50;1,00;0,50;2,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2022-02-06;31,00;59,42;12,92;15,50;0,50;15,00;10,00;8,00;11,00;6,00;13,00;5,00;1,00;6,00;4,00;1,00;3,00;2,00;5,00;3,00;6,00;0,50;2,00;0,50;1,00;0,50;0,50;0,50;0,50;2,00;0,50;0,50
2022-02-13;36,00;64,29;15,43;18,00;0,50;16,00;11,00;10,00;14,00;7,00;12,00;5,00;2,00;8,00;5,00;1,00;4,00;2,00;5,00;4,00;6,00;0,50;2,00;1,00;2,00;1,00;0,50;1,00;0,50;2,00;0,50;0,50
2022-02-20;36,00;56,57;12,86;15,43;0,50;18,00;10,00;9,00;13,00;8,00;13,00;5,00;2,00;8,00;6,00;1,00;3,00;2,00;6,00;3,00;6,00;1,00;2,00;0,50;2,00;1,00;0,50;0,50;0,50;1,00;0,50;0,50
2022-02-27;31,00;54,25;12,92;15,50;0,50;15,00;9,00;10,00;13,00;7,00;12,00;5,00;1,00;6,00;6,00;1,00;3,00;1,00;6,00;3,00;5,00;1,00;1,00;0,50;1,00;1,00;1,00;0,50;0,50;2,00;0,50;0,50
2022-03-06;32,00;66,67;13,33;18,67;0,50;17,00;11,00;8,00;11,00;8,00;9,00;5,00;2,00;6,00;5,00;2,00;4,00;2,00;5,00;4,00;7,00;0,50;2,00;0,50;2,00;1,00;0,50;1,00;0,50;2,00;0,50;0,50
2022-03-13;33,00;73,62;12,69;17,77;0,50;17,00;10,00;9,00;13,00;8,00;10,00;5,00;1,00;7,00;7,00;3,00;5,00;2,00;5,00;4,00;7,00;1,00;2,00;0,50;2,00;0,50;0,50;1,00;0,50;2,00;0,00;0,50
2022-03-20;35,00;67,31;13,46;21,54;0,50;18,00;9,00;10,00;10,00;10,00;11,00;6,00;1,00;7,00;8,00;2,00;4,00;2,00;6,00;4,00;6,00;1,00;1,00;0,50;2,00;1,00;0,50;0,50;0,50;2,00;0,50;0,50
2022-03-27;38,00;73,29;16,29;21,71;0,50;19,00;10,00;10,00;13,00;11,00;12,00;6,00;1,00;10,00;8,00;1,00;5,00;3,00;8,00;5,00;7,00;1,00;2,00;1,00;2,00;1,00;0,50;1,00;0,50;3,00;0,50;0,50
2022-04-03;39,00;67,60;15,60;20,80;0,50;19,00;11,00;11,00;13,00;11,00;13,00;7,00;2,00;9,00;8,00;2,00;4,00;3,00;7,00;4,00;7,00;1,00;1,00;0,50;2,00;1,00;0,50;1,00;0,50;3,00;0,50;0,50
2022-04-10;37,00;71,36;13,21;23,79;0,50;21,00;11,00;9,00;13,00;11,00;12,00;7,00;2,00;9,00;7,00;2,00;6,00;3,00;8,00;4,00;6,00;1,00;2,00;0,50;2,00;1,00;1,00;1,00;0,50;4,00;0,00;0,50
2022-04-17;40,00;72,00;18,67;24,00;0,50;19,00;13,00;11,00;16,00;12,00;15,00;9,00;2,00;12,00;8,00;2,00;5,00;4,00;9,00;5,00;8,00;1,00;2,00;1,00;3,00;1,00;0,50;1,00;0,50;5,00;0,50;0,50
2022-04-24;39,00;70,20;13,00;23,40;0,50;23,00;12,00;10,00;13,00;10,00;10,00;6,00;2,00;10,00;7,00;2,00;5,00;3,00;11,00;4,00;8,00;1,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50;3,00;0,50;0,50
2022-05-01;41,00;65,60;13,67;24,60;0,50;31,00;12,00;9,00;13,00;9,00;15,00;7,00;2,00;11,00;7,00;2,00;5,00;4,00;9,00;4,00;6,00;2,00;2,00;1,00;2,00;1,00;0,50;1,00;0,50;3,00;0,00;0,50
2022-05-08;38,00;65,14;16,29;27,14;0,50;21,00;12,00;9,00;13,00;10,00;12,00;7,00;2,00;13,00;7,00;2,00;5,00;4,00;8,00;5,00;9,00;1,00;2,00;1,00;2,00;1,00;0,50;1,00;0,50;2,00;0,50;0,50
2022-05-15;38,00;67,86;13,57;27,14;0,50;17,00;11,00;9,00;10,00;10,00;11,00;7,00;2,00;12,00;7,00;8,00;8,00;3,00;8,00;5,00;7,00;2,00;8,00;0,50;3,00;1,00;0,50;0,50;0,50;3,00;0,00;0,50
2022-05-22;34,00;62,77;13,08;23,54;0,50;21,00;10,00;9,00;12,00;12,00;12,00;6,00;2,00;12,00;6,00;2,00;5,00;4,00;10,00;4,00;7,00;1,00;2,00;1,00;3,00;1,00;0,50;0,50;0,50;7,00;0,50;0,50
2022-05-29;43,00;69,88;13,44;24,19;0,50;20,00;12,00;10,00;13,00;13,00;12,00;8,00;2,00;13,00;9,00;2,00;5,00;4,00;9,00;5,00;10,00;2,00;1,00;1,00;3,00;1,00;0,50;1,00;0,50;11,00;0,50;0,50
2022-06-05;39,00;62,40;15,60;23,40;0,50;17,00;10,00;10,00;20,00;12,00;11,00;7,00;1,00;11,00;8,00;1,00;6,00;4,00;9,00;5,00;7,00;1,00;2,00;0,50;3,00;1,00;1,00;1,00;0,50;3,00;0,50;0,50
2022-06-12;41,00;54,67;13,67;24,60;0,50;18,00;10,00;9,00;13,00;9,00;11,00;8,00;2,00;11,00;8,00;1,00;6,00;4,00;9,00;5,00;8,00;2,00;2,00;1,00;4,00;1,00;0,50;1,00;1,00;3,00;0,50;0,00
